"Localidades";"Períodos";"População de 0 a 3 Anos";"Cód. IBGE"
"Consolação";"2014";"1744";
"Consolação";"2015";"1866";
"Consolação";"2016";"1875";
"Consolação";"2017";"1875";
"Cursino";"2006";"4940";
"Cursino";"2007";"4880";
"Cursino";"2008";"4815";
"Cursino";"2009";"4753";
"Cursino";"2010";"4690";
"Cursino";"2011";"4871";
"Cursino";"2012";"5057";
"Cursino";"2013";"5242";
"Cursino";"2014";"5436";
"Cursino";"2015";"5628";
"Cursino";"2016";"5466";
"Cursino";"2017";"5304";
"Ermelino Matarazzo";"2006";"6993";
"Ermelino Matarazzo";"2007";"6818";
"Ermelino Matarazzo";"2008";"6646";
"Ermelino Matarazzo";"2009";"6465";
"Ermelino Matarazzo";"2010";"6293";
"Ermelino Matarazzo";"2011";"6438";
"Ermelino Matarazzo";"2012";"6583";
"Ermelino Matarazzo";"2013";"6726";
"Ermelino Matarazzo";"2014";"6866";
"Ermelino Matarazzo";"2015";"7007";
"Ermelino Matarazzo";"2016";"6863";
"Ermelino Matarazzo";"2017";"6717";
"Freguesia do Ó";"2006";"7168";
"Freguesia do Ó";"2007";"6910";
"Freguesia do Ó";"2008";"6664";
"Freguesia do Ó";"2009";"6419";
"Freguesia do Ó";"2010";"6188";
"Freguesia do Ó";"2011";"6480";
"Freguesia do Ó";"2012";"6782";
"Freguesia do Ó";"2013";"7087";
"Freguesia do Ó";"2014";"7397";
"Freguesia do Ó";"2015";"7715";
"Freguesia do Ó";"2016";"7488";
"Freguesia do Ó";"2017";"7248";
"Grajaú";"2006";"25304";
"Grajaú";"2007";"24515";
"Grajaú";"2008";"23734";
"Grajaú";"2009";"22969";
"Grajaú";"2010";"22240";
"Grajaú";"2011";"23051";
"Grajaú";"2012";"23869";
"Grajaú";"2013";"24660";
"Grajaú";"2014";"25481";
"Grajaú";"2015";"26280";
"Grajaú";"2016";"25814";
"Grajaú";"2017";"25332";
"Guaianases";"2006";"7129";
"Guaianases";"2007";"6870";
"Guaianases";"2008";"6618";
"Guaianases";"2009";"6376";
"Guaianases";"2010";"6149";
"Guaianases";"2011";"6375";
"Guaianases";"2012";"6600";
"Guaianases";"2013";"6829";
"Guaianases";"2014";"7055";
"Guaianases";"2015";"7284";
"Guaianases";"2016";"7163";
"Guaianases";"2017";"7037";
"Iguatemi";"2006";"8361";
"Iguatemi";"2007";"8239";
"Iguatemi";"2008";"8106";
"Iguatemi";"2009";"7983";
"Iguatemi";"2010";"7840";
"Iguatemi";"2011";"8207";
"Iguatemi";"2012";"8578";
"Iguatemi";"2013";"8956";
"Iguatemi";"2014";"9342";
"Iguatemi";"2015";"9728";
"Iguatemi";"2016";"9683";
"Iguatemi";"2017";"9634";
"Ipiranga";"2006";"4800";
"Ipiranga";"2007";"4729";
"Ipiranga";"2008";"4658";
"Ipiranga";"2009";"4593";
"Ipiranga";"2010";"4523";
"Ipiranga";"2011";"4713";
"Ipiranga";"2012";"4910";
"Ipiranga";"2013";"5109";
"Ipiranga";"2014";"5315";
"Ipiranga";"2015";"5521";
"Ipiranga";"2016";"5377";
