DISTRITO;MAT_CRECHE;MAT_PRE_ESCOLA;MAT_FUND_I;MAT_FUND_II;MAT_EJA_I;MAT_EJA_II;MAT_ENS_MED;MAT_ED_PROF;MAT_PROC_CRECHE;MAT_PROC_PRE_ESC;DEM_CRECHE;DEM_PRE;DEM_FUND_I;DEM_FUND_II;DEM_EJA_I;DEM_EJA_II;DEM_PREF_CRECHE;DEM_PREF_PRE;MES_ANO_REF
VILA SONIA;734;2.392;1.919;2.053;205;460;0;0;2;3;680;239;0;0;0;0;17;46;mar-09
AGUA RASA;745;1.146;1.174;1.330;62;134;0;0;5;16;108;89;0;0;0;0;17;18;jun-09
ALTO DE PINHEIROS;279;93;0;0;0;0;0;0;0;0;68;0;0;0;0;0;8;0;jun-09
ANHANGUERA;809;2.249;2.938;2.979;203;746;0;0;3;59;568;85;0;0;0;0;21;55;jun-09
ARICANDUVA;890;1.362;1.698;2.037;91;425;0;0;9;3;330;82;0;0;0;0;22;14;jun-09
ARTUR ALVIM;1.536;3.591;2.318;2.452;19;194;0;0;28;3;646;135;0;0;0;0;34;53;jun-09
BARRA FUNDA;291;92;0;0;0;0;0;0;0;0;104;2;0;0;0;0;6;1;jun-09
BELA VISTA;765;1.272;470;423;0;371;0;0;6;5;519;57;0;0;0;0;42;17;jun-09
BELEM;638;1.399;466;220;0;0;0;0;6;3;167;47;0;0;0;0;12;12;jun-09
BOM RETIRO;500;1.459;0;0;0;0;0;0;0;17;506;76;0;0;0;0;34;28;jun-09
BRAS;391;797;0;0;0;0;0;0;5;3;305;4;0;0;0;0;25;4;jun-09
BRASILANDIA;3.992;9.382;9.120;8.569;668;2.840;0;0;21;43;2.833;1.703;0;0;0;0;116;137;jun-09
BUTANTA;411;1.044;1.342;1.494;372;932;0;0;5;2;226;94;0;0;0;0;13;11;jun-09
CACHOEIRINHA;1.506;4.827;3.426;3.270;224;993;0;0;20;25;938;248;0;0;0;0;53;48;jun-09
CAMBUCI;166;670;0;0;249;305;0;0;2;6;163;124;0;0;0;0;2;15;jun-09
CAMPO BELO;616;715;1.302;1.409;135;360;0;0;4;4;316;33;0;0;0;0;49;47;jun-09
CAMPO GRANDE;565;2.224;2.738;3.079;272;586;0;0;1;4;364;361;0;0;0;0;24;72;jun-09
CAMPO LIMPO;2.225;8.876;8.014;8.042;824;2.764;0;0;11;66;3.254;636;0;0;0;0;97;113;jun-09
CANGAIBA;1.300;4.309;2.073;2.523;167;1.069;0;0;5;26;1.201;707;0;0;0;0;60;75;jun-09
CAPAO REDONDO;2.491;7.588;10.510;9.050;1.177;4.113;0;0;24;34;3.456;2.444;0;0;0;0;67;126;jun-09
CARRAO;1.097;1.840;1.030;1.154;0;0;0;0;9;18;292;26;0;0;0;0;17;8;jun-09
CASA VERDE;548;1.418;1.188;1.226;96;390;0;0;5;5;685;149;0;0;0;0;12;16;jun-09
CIDADE ADEMAR;2.581;5.648;3.514;3.389;543;1.312;0;0;11;40;3.141;1.649;0;0;0;0;163;288;jun-09
CIDADE DUTRA;3.071;7.884;6.055;6.960;368;1.527;0;0;12;12;2.842;356;0;0;0;0;44;61;jun-09
CIDADE LIDER;1.817;4.745;2.524;2.879;351;1.085;0;0;19;18;732;121;0;0;0;0;26;57;jun-09
CIDADE TIRADENTES;3.636;10.475;10.697;11.724;510;1.749;451;0;76;137;2.120;713;0;0;0;0;134;98;jun-09
CONSOLACAO;346;1.825;0;0;0;0;0;0;7;7;126;6;0;0;0;0;9;2;jun-09
CURSINO;414;1.656;780;907;47;125;0;0;0;6;500;249;0;0;0;0;7;23;jun-09
ERMELINO MATARAZZO;1.115;3.440;1.337;1.579;248;1.123;0;0;31;42;710;307;0;0;0;0;47;56;jun-09
FREGUESIA DO O;1.434;3.925;3.094;2.744;190;965;0;0;88;32;707;418;0;0;0;0;35;38;jun-09
GRAJAU;3.665;11.080;7.909;6.529;790;3.010;0;0;14;13;4.945;3.437;0;0;0;0;84;108;jun-09
GUAIANASES;2.255;4.428;1.501;1.936;417;961;0;0;24;40;560;91;0;0;0;0;48;27;jun-09
IGUATEMI;1.445;5.405;6.845;6.491;328;1.018;0;0;8;10;1.877;735;0;0;0;0;25;45;jun-09
IPIRANGA;962;2.424;677;808;169;318;0;0;1;10;709;147;0;0;0;0;22;24;jun-09
ITAIM BIBI;301;817;696;666;66;314;0;0;2;1;169;10;0;0;0;0;8;5;jun-09
ITAIM PAULISTA;2.795;7.381;5.530;5.494;319;1.554;0;0;24;18;2.128;1.006;0;0;0;0;168;174;jun-09
ITAQUERA;3.606;6.258;2.757;3.460;242;1.041;0;0;28;80;1.326;236;0;0;0;0;77;128;jun-09
JABAQUARA;2.429;5.364;2.797;2.906;290;617;0;0;4;28;2.042;956;0;0;0;0;107;304;jun-09
JACANA;1.362;3.165;2.069;1.985;65;347;0;0;5;6;503;322;0;0;0;0;46;38;jun-09
JAGUARA;461;922;789;788;75;267;0;0;0;1;102;0;0;0;0;0;7;2;jun-09
JAGUARE;572;1.117;417;443;120;237;0;0;0;7;449;32;0;0;0;0;12;3;jun-09
JARAGUA;3.467;7.313;9.219;9.030;722;2.039;295;0;30;62;1.849;1.197;0;0;0;0;40;131;jun-09
JARDIM ANGELA;2.353;9.521;7.922;5.875;537;1.869;0;0;30;54;3.678;1.998;0;0;0;0;251;384;jun-09
JARDIM HELENA;1.947;5.130;5.432;5.742;195;1.206;0;0;17;8;1.342;746;0;0;0;0;133;172;jun-09
JARDIM PAULISTA;24;562;0;0;0;0;0;0;0;0;10;4;0;0;0;0;0;0;jun-09
JARDIM SAO LUIS;3.418;8.800;7.224;6.448;545;1.944;0;0;19;90;3.622;1.053;0;0;0;0;60;119;jun-09
JOSE BONIFACIO;1.430;4.571;2.883;2.843;64;540;0;0;24;38;652;174;0;0;0;0;11;66;jun-09
LAJEADO;3.315;6.488;3.774;3.769;199;1.279;0;0;40;16;1.591;1.177;0;0;0;0;105;70;jun-09
LAPA;246;1.981;0;0;0;0;0;0;2;25;154;90;0;0;0;0;5;12;jun-09
LIBERDADE;346;658;271;315;0;80;0;0;0;5;444;19;0;0;0;0;6;3;jun-09
LIMAO;382;1.668;820;744;44;295;0;0;1;4;348;86;0;0;0;0;10;12;jun-09
MANDAQUI;925;2.746;1.812;2.244;200;466;0;0;10;13;722;103;0;0;0;0;20;39;jun-09
MARSILAC;75;81;0;0;0;0;0;0;0;0;21;17;0;0;0;0;1;1;jun-09
MOEMA;172;1.222;412;252;0;0;0;0;1;8;93;25;0;0;0;0;1;9;jun-09
MOOCA;606;1.283;313;320;66;148;0;0;5;4;109;16;0;0;0;0;22;11;jun-09
MORUMBI;364;688;634;666;77;79;0;0;0;4;236;24;0;0;0;0;4;8;jun-09
PARELHEIROS;1.924;5.798;3.217;1.834;381;1.186;0;0;4;31;1.467;471;0;0;0;0;86;52;jun-09
PARI;280;380;323;322;0;0;0;0;0;1;152;19;0;0;0;0;20;4;jun-09
PARQUE DO CARMO;1.103;2.097;1.147;1.260;0;387;0;0;39;2;329;90;0;0;0;0;24;37;jun-09
PEDREIRA;1.636;3.824;4.468;4.465;293;1.537;0;0;16;49;1.542;807;0;0;0;0;73;203;jun-09
PENHA;1.255;1.314;559;334;0;0;0;0;22;1;515;89;0;0;0;0;82;22;jun-09
PERDIZES;412;640;354;291;0;0;0;0;1;2;114;46;0;0;0;0;0;8;jun-09
PERUS;896;3.518;4.314;4.084;215;869;0;0;2;83;1.063;66;0;0;0;0;14;66;jun-09
PINHEIROS;285;712;377;408;0;0;0;0;1;2;159;14;0;0;0;0;6;6;jun-09
PIRITUBA;1.437;3.850;3.756;4.217;394;1.336;299;0;1;48;884;448;0;0;0;0;8;11;jun-09
PONTE RASA;775;2.031;2.156;3.161;74;595;0;0;2;3;463;224;0;0;0;0;23;42;jun-09
RAPOSO TAVARES;1.641;4.193;3.972;3.887;215;749;0;0;2;78;962;130;0;0;0;0;59;41;jun-09
REPUBLICA;12;443;0;0;0;0;0;0;0;1;3;39;0;0;0;0;0;8;jun-09
RIO PEQUENO;1.616;3.647;3.756;3.351;327;727;0;0;4;6;989;250;0;0;0;0;38;37;jun-09
SACOMA;3.159;6.155;5.132;5.423;590;1.534;0;0;12;14;1.952;842;0;0;0;0;81;149;jun-09
SANTA CECILIA;746;1.068;0;0;0;0;0;0;13;4;291;55;0;0;0;0;47;34;jun-09
SANTANA;912;1.279;1.318;1.553;0;238;1.038;523;10;18;309;68;0;0;0;0;26;9;jun-09
SANTO AMARO;253;405;993;1.310;0;599;99;0;13;7;118;17;0;0;0;0;4;21;jun-09
SAO DOMINGOS;748;1.820;2.794;2.966;114;378;0;0;1;28;489;13;0;0;0;0;3;2;jun-09
SAO LUCAS;602;2.977;3.136;3.477;80;492;0;0;4;14;512;202;0;0;0;0;7;14;jun-09
SAO MATEUS;2.007;4.892;4.019;4.250;340;1.490;0;0;14;17;1.003;266;0;0;0;0;34;44;jun-09
SAO MIGUEL;1.557;2.929;3.590;4.004;106;1.047;259;0;18;13;485;155;0;0;0;0;61;71;jun-09
SAO RAFAEL;2.394;7.056;4.965;4.834;454;1.284;0;0;9;11;1.298;248;0;0;0;0;44;87;jun-09
SAPOPEMBA;3.638;9.794;9.446;10.043;886;2.176;311;0;17;42;2.167;226;0;0;0;0;113;114;jun-09
SAUDE;411;950;212;365;68;154;0;0;3;2;293;30;0;0;0;0;11;9;jun-09
SE;57;146;488;395;63;139;0;0;0;0;180;33;0;0;0;0;2;6;jun-09
SOCORRO;372;1.192;1.189;1.440;89;423;0;0;0;5;161;28;0;0;0;0;6;1;jun-09
TATUAPE;426;1.757;1.025;1.263;106;521;0;0;10;5;117;10;0;0;0;0;18;12;jun-09
TREMEMBE;1.260;4.996;3.868;4.073;420;1.007;0;0;2;11;1.601;1.018;0;0;0;0;67;78;jun-09
TUCURUVI;346;948;1.213;1.241;0;65;0;0;2;4;213;73;0;0;0;0;19;13;jun-09
VILA ANDRADE;430;1.720;2.308;1.438;259;470;0;0;1;61;961;392;0;0;0;0;69;30;jun-09
VILA CURUCA;2.279;6.057;5.953;6.742;70;1.003;0;0;19;19;1.180;745;0;0;0;0;81;108;jun-09
VILA FORMOSA;603;1.998;840;907;0;91;0;0;6;75;478;87;0;0;0;0;22;31;jun-09
VILA GUILHERME;412;1.370;1.099;1.080;50;108;0;0;0;2;209;109;0;0;0;0;11;18;jun-09
VILA JACUI;2.008;5.800;3.881;4.309;125;772;0;0;16;17;1.162;235;0;0;0;0;78;45;jun-09
VILA LEOPOLDINA;263;816;676;617;39;126;0;0;11;6;77;35;0;0;0;0;1;4;jun-09
VILA MARIA;1.548;3.956;3.544;3.137;172;567;0;0;6;36;792;422;0;0;0;0;50;47;jun-09
VILA MARIANA;344;1.372;301;257;0;0;0;0;1;3;256;4;0;0;0;0;4;6;jun-09
VILA MATILDE;925;1.388;2.154;2.650;104;428;0;0;4;6;300;54;0;0;0;0;25;13;jun-09
VILA MEDEIROS;1.579;3.249;1.994;2.066;432;1.148;0;0;14;18;770;265;0;0;0;0;53;53;jun-09
VILA PRUDENTE;1.305;2.222;999;1.200;94;346;0;0;3;16;350;24;0;0;0;0;25;17;jun-09
VILA SONIA;793;2.384;1.908;2.063;215;492;0;0;58;7;833;294;0;0;0;0;19;43;jun-09
AGUA RASA;733;1.137;1.167;1.322;64;118;0;0;1;5;167;81;0;0;0;0;47;28;set-09
ALTO DE PINHEIROS;277;92;0;0;0;0;0;0;2;0;62;0;0;0;0;0;10;0;set-09
ANHANGUERA;810;2.261;2.934;2.968;195;700;0;0;1;20;604;65;0;0;0;0;56;91;set-09
ARICANDUVA;884;1.362;1.709;2.039;84;415;0;0;14;3;332;66;0;0;0;0;38;23;set-09
ARTUR ALVIM;1.535;3.573;2.345;2.451;16;194;0;0;11;4;630;97;0;0;0;0;78;58;set-09
BARRA FUNDA;285;92;0;0;0;0;0;0;0;0;104;0;0;0;0;0;6;0;set-09
BELA VISTA;756;1.268;474;420;0;381;0;0;6;7;541;30;0;0;0;0;51;19;set-09
BELEM;635;1.381;468;221;0;0;0;0;2;1;171;10;0;0;0;0;19;10;set-09
BOM RETIRO;486;1.448;0;0;0;0;0;0;4;10;485;21;0;0;0;0;63;33;set-09
BRAS;395;799;0;0;0;0;0;0;1;4;295;0;0;0;0;0;28;1;set-09
BRASILANDIA;4.043;9.377;9.088;8.467;656;2.772;0;0;24;26;2.972;1.574;0;0;0;0;210;239;set-09
BUTANTA;416;1.032;1.338;1.491;395;1.001;0;0;0;8;234;78;0;0;0;0;25;16;set-09
CACHOEIRINHA;1.504;4.799;3.436;3.269;214;921;0;0;83;25;943;203;0;0;0;0;90;60;set-09
CAMBUCI;164;673;0;0;251;303;0;0;0;2;174;81;0;0;0;0;15;52;set-09
CAMPO BELO;617;705;1.311;1.398;127;440;0;0;3;8;313;9;0;0;0;0;95;30;set-09
CAMPO GRANDE;568;2.216;2.733;3.050;251;536;0;0;0;5;369;340;0;0;0;0;78;81;set-09
CAMPO LIMPO;2.230;8.854;8.775;8.361;846;2.764;0;0;9;21;3.464;588;0;0;0;0;215;178;set-09
CANGAIBA;1.468;4.299;2.073;2.511;160;972;0;0;6;15;1.185;674;0;0;0;0;84;104;set-09
CAPAO REDONDO;2.485;7.526;9.785;8.655;1.135;3.751;0;0;16;46;3.703;2.377;0;0;0;0;144;235;set-09
CARRAO;1.092;1.525;1.008;1.150;0;0;0;0;12;8;286;2;0;0;0;0;51;17;set-09
CASA VERDE;547;1.408;1.189;1.224;104;438;0;0;13;9;640;129;0;0;0;0;50;41;set-09
CIDADE ADEMAR;2.576;5.641;3.497;3.338;568;1.293;0;0;11;40;3.237;1.463;0;0;0;0;360;385;set-09
CIDADE DUTRA;3.127;7.864;6.088;6.955;354;1.528;0;0;12;21;2.924;234;0;0;0;0;248;145;set-09
CIDADE LIDER;1.791;4.730;2.543;2.878;364;1.148;0;0;19;16;765;74;0;0;0;0;57;80;set-09
CIDADE TIRADENTES;3.808;10.180;10.927;11.712;531;1.809;449;0;115;151;2.137;535;0;0;0;0;219;92;set-09
CONSOLACAO;347;1.788;0;0;0;0;0;0;2;13;136;1;0;0;0;0;17;2;set-09
CURSINO;411;1.635;773;889;49;143;0;0;1;1;552;231;0;0;0;0;29;51;set-09
ERMELINO MATARAZZO;1.129;3.447;1.352;1.573;234;947;0;0;4;15;648;247;0;0;0;0;108;87;set-09
FREGUESIA DO O;1.574;3.956;3.079;2.707;186;988;0;0;23;18;704;299;0;0;0;0;75;87;set-09
GRAJAU;3.744;11.225;7.894;6.521;793;3.042;0;0;175;162;4.923;3.125;0;0;0;0;348;253;set-09
GUAIANASES;2.197;4.444;1.526;1.932;377;789;0;0;33;13;506;44;0;0;0;0;47;10;set-09
IGUATEMI;1.436;5.354;6.783;6.391;326;946;0;0;7;13;1.959;674;0;0;0;0;109;121;set-09
IPIRANGA;954;2.421;674;807;168;299;0;0;7;4;757;62;0;0;0;0;64;100;set-09
ITAIM BIBI;301;828;688;649;64;316;0;0;2;0;159;0;0;0;0;0;20;0;set-09
ITAIM PAULISTA;2.841;7.361;5.539;5.477;316;1.511;0;0;20;20;2.159;982;0;0;0;0;367;452;set-09
ITAQUERA;3.623;6.225;2.772;3.435;239;1.021;0;0;70;48;1.223;181;0;0;0;0;140;167;set-09
JABAQUARA;2.416;5.327;2.792;2.883;286;589;0;0;10;17;2.053;834;0;0;0;0;241;339;set-09
JACANA;1.357;3.148;2.047;1.957;88;357;0;0;5;16;564;284;0;0;0;0;58;68;set-09
JAGUARA;630;961;767;777;56;256;0;0;1;8;113;1;0;0;0;0;18;1;set-09
JAGUARE;618;1.137;409;438;104;226;0;0;1;0;417;16;0;0;0;0;44;9;set-09
JARAGUA;3.310;7.497;9.141;8.917;612;1.857;290;0;16;39;1.960;876;0;0;0;0;130;158;set-09
JARDIM ANGELA;2.360;9.505;7.942;5.868;559;1.919;0;0;20;34;3.967;1.966;0;0;0;0;369;503;set-09
JARDIM HELENA;1.948;5.100;5.437;5.793;201;1.221;0;0;19;17;1.227;651;0;0;0;0;314;230;set-09
JARDIM PAULISTA;24;555;0;0;0;0;0;0;0;1;67;5;0;0;0;0;2;0;set-09
JARDIM SAO LUIS;3.403;8.808;7.312;6.449;551;1.936;0;0;16;37;3.766;886;0;0;0;0;288;229;set-09
JOSE BONIFACIO;1.432;4.579;2.854;2.812;67;606;0;0;136;45;583;144;0;0;0;0;43;73;set-09
LAJEADO;3.301;6.506;3.774;3.747;193;1.303;0;0;37;26;1.715;1.118;0;0;0;0;110;68;set-09
LAPA;245;1.965;0;0;0;0;0;0;5;13;164;70;0;0;0;0;4;15;set-09
LIBERDADE;344;650;271;308;0;76;0;0;1;1;453;13;0;0;0;0;13;8;set-09
LIMAO;423;1.706;824;736;45;299;0;0;2;3;404;63;0;0;0;0;29;16;set-09
MANDAQUI;929;2.746;1.787;2.212;190;470;0;0;3;5;726;76;0;0;0;0;39;48;set-09
MARSILAC;75;81;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0;1;set-09
MOEMA;186;1.212;401;251;0;0;0;0;0;12;72;19;0;0;0;0;1;9;set-09
MOOCA;610;1.266;298;306;51;148;0;0;0;2;100;1;0;0;0;0;30;7;set-09
MORUMBI;357;683;642;661;83;84;0;0;1;4;252;14;0;0;0;0;18;9;set-09
PARELHEIROS;1.944;5.772;3.236;1.850;377;1.104;0;0;16;47;1.591;378;0;0;0;0;170;69;set-09
PARI;284;373;320;320;0;0;0;0;0;1;144;13;0;0;0;0;19;8;set-09
PARQUE DO CARMO;1.254;2.101;1.145;1.254;0;382;0;0;26;5;412;62;0;0;0;0;59;37;set-09
PEDREIRA;1.645;3.821;4.447;4.414;266;1.546;0;0;10;43;1.574;698;0;0;0;0;166;194;set-09
PENHA;1.276;1.301;554;334;0;0;0;0;2;3;531;76;0;0;0;0;86;19;set-09
PERDIZES;417;637;344;290;0;0;0;0;2;3;97;36;0;0;0;0;10;11;set-09
PERUS;959;3.521;4.284;4.058;206;807;0;0;2;13;1.137;67;0;0;0;0;47;100;set-09
PINHEIROS;293;707;369;406;0;0;0;0;3;0;162;3;0;0;0;0;23;4;set-09
PIRITUBA;1.435;3.840;3.686;4.161;386;1.229;306;0;1;24;938;386;0;0;0;0;48;55;set-09
PONTE RASA;767;2.010;2.162;3.153;77;632;0;0;4;7;450;174;0;0;0;0;36;59;set-09
RAPOSO TAVARES;1.699;4.202;4.004;3.889;218;781;0;0;11;24;975;80;0;0;0;0;77;82;set-09
REPUBLICA;11;431;0;0;0;0;0;0;0;6;2;34;0;0;0;0;3;11;set-09
RIO PEQUENO;1.610;3.664;3.761;3.333;315;679;0;0;5;14;1.074;150;0;0;0;0;90;35;set-09
SACOMA;3.262;6.166;5.144;5.390;584;1.543;0;0;12;38;1.931;667;0;0;0;0;198;181;set-09
SANTA CECILIA;762;1.064;0;0;0;0;0;0;11;6;294;45;0;0;0;0;71;38;set-09
SANTANA;904;1.267;1.292;1.529;0;241;1.020;737;4;4;287;43;0;0;0;0;54;19;set-09
SANTO AMARO;265;405;975;1.276;0;478;99;0;1;7;104;2;0;0;0;0;23;32;set-09
SAO DOMINGOS;752;1.828;2.762;2.943;91;321;0;0;1;4;538;10;0;0;0;0;27;17;set-09
SAO LUCAS;602;2.995;3.155;3.461;59;477;0;0;2;5;544;155;0;0;0;0;37;39;set-09
SAO MATEUS;2.000;4.870;3.915;4.220;342;1.460;0;0;8;10;1.055;198;0;0;0;0;104;61;set-09
SAO MIGUEL;1.555;2.891;3.632;3.999;109;1.052;259;0;7;5;415;121;0;0;0;0;156;95;set-09
SAO RAFAEL;2.358;7.002;4.932;4.785;463;1.172;0;0;8;16;1.416;147;0;0;0;0;132;60;set-09
SAPOPEMBA;3.618;9.726;9.515;9.975;825;1.977;303;0;35;20;2.181;136;0;0;0;0;282;147;set-09
SAUDE;420;947;191;353;54;149;0;0;2;2;293;20;0;0;0;0;41;20;set-09
SE;57;143;468;362;65;140;0;0;1;0;181;26;0;0;0;0;11;6;set-09
SOCORRO;371;1.193;1.198;1.439;89;428;0;0;6;5;172;27;0;0;0;0;30;7;set-09
TATUAPE;429;1.739;788;1.057;95;489;0;0;2;0;88;6;0;0;0;0;24;9;set-09
TREMEMBE;1.266;4.976;3.814;4.008;414;975;0;0;6;8;1.642;979;0;0;0;0;119;201;set-09
TUCURUVI;350;938;1.198;1.229;0;63;0;0;3;1;210;57;0;0;0;0;26;11;set-09
VILA ANDRADE;426;1.727;2.338;1.679;268;498;0;0;4;9;1.116;373;0;0;0;0;89;73;set-09
VILA CURUCA;2.231;5.996;5.973;6.728;67;1.031;0;0;11;14;1.069;605;0;0;0;0;262;259;set-09
VILA FORMOSA;644;2.051;845;912;0;100;0;0;13;17;422;15;0;0;0;0;22;45;set-09
VILA GUILHERME;413;1.384;1.080;1.051;36;91;0;0;0;3;197;77;0;0;0;0;18;20;set-09
VILA JACUI;2.069;5.771;3.868;4.279;122;750;0;0;9;12;1.108;199;0;0;0;0;166;119;set-09
VILA LEOPOLDINA;272;810;668;613;33;113;0;0;1;15;68;20;0;0;0;0;5;3;set-09
VILA MARIA;1.541;3.935;3.492;3.078;147;531;0;0;2;18;857;346;0;0;0;0;99;86;set-09
VILA MARIANA;349;1.373;295;254;0;0;0;0;1;2;259;1;0;0;0;0;64;8;set-09
VILA MATILDE;928;1.363;2.413;2.859;93;401;0;0;6;2;300;41;0;0;0;0;32;16;set-09
VILA MEDEIROS;1.581;3.209;1.963;2.023;425;1.041;0;0;3;12;734;166;0;0;0;0;102;111;set-09
VILA PRUDENTE;1.291;2.211;1.014;1.203;82;339;0;0;9;3;329;8;0;0;0;0;75;31;set-09
VILA SONIA;835;2.368;1.908;2.045;205;492;0;0;8;9;893;248;0;0;0;0;76;63;set-09
AGUA RASA;732;1.131;1.160;1.310;51;106;0;0;0;0;234;74;0;0;0;0;;;dez-09
ALTO DE PINHEIROS;280;92;0;0;0;0;0;0;0;0;54;0;0;0;0;0;;;dez-09
ANHANGUERA;817;2.332;2.941;2.967;191;676;0;0;0;0;518;79;0;0;0;0;;;dez-09
ARICANDUVA;878;1.360;1.707;2.005;58;303;0;0;0;0;289;146;0;0;0;0;;;dez-09
ARTUR ALVIM;1.551;3.569;2.328;2.401;14;146;0;0;0;0;546;101;0;0;0;0;;;dez-09
BARRA FUNDA;287;91;0;0;0;0;0;0;0;0;49;2;0;0;0;0;;;dez-09
BELA VISTA;755;1.262;479;416;0;377;0;0;0;0;418;20;0;0;0;0;;;dez-09
BELEM;635;1.371;466;220;0;0;0;0;0;0;186;46;0;0;0;0;;;dez-09
BOM RETIRO;489;1.538;0;0;0;0;0;0;0;0;328;16;0;0;0;0;;;dez-09
BRAS;398;761;0;0;0;0;0;0;0;0;226;4;0;0;0;0;;;dez-09
BRASILANDIA;3.799;9.421;8.421;7.643;504;2.354;0;0;0;0;1.457;900;0;0;0;0;;;dez-09
BUTANTA;398;1.014;1.343;1.482;347;820;0;0;0;0;184;56;0;0;0;0;;;dez-09
CACHOEIRINHA;1.701;4.259;2.999;2.920;215;756;0;0;0;0;789;136;0;0;0;0;;;dez-09
CAMBUCI;164;655;0;0;189;228;0;0;0;0;184;69;0;0;0;0;;;dez-09
CAMPO BELO;611;696;1.289;1.353;132;445;0;0;0;0;277;7;0;0;0;0;;;dez-09
CAMPO GRANDE;675;2.208;2.711;2.989;213;438;0;0;0;0;360;314;0;0;0;0;;;dez-09
CAMPO LIMPO;2.203;8.919;8.735;8.245;825;2.626;0;0;0;0;3.115;728;0;0;0;0;;;dez-09
CANGAIBA;1.454;4.358;2.054;2.444;147;818;0;0;0;0;1.177;522;0;0;0;0;;;dez-09
CAPAO REDONDO;2.537;7.590;9.734;8.485;1.536;4.420;0;0;0;0;3.258;1.573;0;0;0;0;;;dez-09
CARRAO;1.077;1.814;1.017;1.146;0;0;0;0;0;0;209;29;0;0;0;0;;;dez-09
CASA VERDE;552;1.401;1.237;1.259;93;356;0;0;0;0;652;203;0;0;0;0;;;dez-09
CIDADE ADEMAR;2.578;5.620;3.334;3.210;464;1.041;0;0;0;0;2.724;1.236;0;0;0;0;;;dez-09
CIDADE DUTRA;3.124;7.764;6.003;6.770;334;1.410;0;0;0;0;2.031;289;0;0;0;0;;;dez-09
CIDADE LIDER;1.928;4.712;3.047;3.377;256;875;0;0;0;0;670;153;0;0;0;0;;;dez-09
CIDADE TIRADENTES;4.194;10.622;10.877;11.603;489;1.735;446;0;0;0;1.511;408;0;0;0;0;;;dez-09
CONSOLACAO;245;1.689;0;0;0;0;0;0;0;0;106;16;0;0;0;0;;;dez-09
CURSINO;415;1.632;771;887;49;141;0;0;0;0;602;160;0;0;0;0;;;dez-09
ERMELINO MATARAZZO;1.136;3.435;1.351;1.550;194;815;0;0;0;0;802;197;0;0;0;0;;;dez-09
FREGUESIA DO O;1.939;4.573;3.678;3.184;214;757;0;0;0;0;1.133;632;0;0;0;0;;;dez-09
GRAJAU;3.893;11.335;7.814;6.370;762;2.850;0;0;0;0;4.390;1.792;0;0;0;0;;;dez-09
GUAIANASES;2.275;4.425;1.520;1.915;320;686;0;0;0;0;299;67;0;0;0;0;;;dez-09
IGUATEMI;1.741;5.323;6.739;6.273;265;822;0;0;0;0;1.733;468;0;0;0;0;;;dez-09
IPIRANGA;936;2.401;672;797;144;261;0;0;0;0;573;53;0;0;0;0;;;dez-09
ITAIM BIBI;301;814;672;646;55;266;0;0;0;0;106;11;0;0;0;0;;;dez-09
ITAIM PAULISTA;3.076;7.426;5.488;5.321;250;1.218;0;0;0;0;2.020;604;0;0;0;0;;;dez-09
ITAQUERA;3.455;6.153;2.755;3.366;208;936;0;0;0;0;950;316;0;0;0;0;;;dez-09
JABAQUARA;2.409;5.326;2.804;2.910;243;527;0;0;0;0;1.793;734;0;0;0;0;;;dez-09
JACANA;1.358;3.128;2.023;1.930;80;272;0;0;0;0;635;189;0;0;0;0;;;dez-09
JAGUARA;699;950;761;778;53;259;0;0;0;0;68;10;0;0;0;0;;;dez-09
JAGUARE;649;1.171;439;420;104;223;0;0;0;0;349;52;0;0;0;0;;;dez-09
JARAGUA;3.335;7.491;9.142;8.793;590;1.782;290;0;0;0;1.381;634;0;0;0;0;;;dez-09
JARDIM ANGELA;2.314;9.481;8.001;5.765;525;1.803;0;0;0;0;3.934;1.406;0;0;0;0;;;dez-09
JARDIM HELENA;2.022;5.089;5.433;5.698;201;1.106;0;0;0;0;1.497;386;0;0;0;0;;;dez-09
JARDIM PAULISTA;24;551;0;0;0;0;0;0;0;0;24;11;0;0;0;0;;;dez-09
JARDIM SAO LUIS;3.442;8.798;7.256;6.352;478;1.462;0;0;0;0;3.101;573;0;0;0;0;;;dez-09
JOSE BONIFACIO;1.662;4.550;2.849;2.744;49;398;0;0;0;0;390;81;0;0;0;0;;;dez-09
LAJEADO;3.560;6.631;3.768;3.723;199;1.102;0;0;0;0;1.178;851;0;0;0;0;;;dez-09
LAPA;236;1.951;0;0;0;0;0;0;0;0;157;70;0;0;0;0;;;dez-09
LIBERDADE;340;649;269;308;0;76;0;0;0;0;425;8;0;0;0;0;;;dez-09
LIMAO;438;1.691;816;710;43;174;0;0;0;0;284;51;0;0;0;0;;;dez-09
MANDAQUI;930;2.729;1.765;2.180;174;399;0;0;0;0;660;165;0;0;0;0;;;dez-09
MARSILAC;75;81;0;0;0;0;0;0;0;0;17;8;0;0;0;0;;;dez-09
MOEMA;186;1.168;393;244;0;0;0;0;0;0;60;20;0;0;0;0;;;dez-09
MOOCA;611;1.244;291;300;45;136;0;0;0;0;168;33;0;0;0;0;;;dez-09
MORUMBI;355;677;634;636;42;84;0;0;0;0;219;24;0;0;0;0;;;dez-09
PARELHEIROS;1.936;5.817;3.208;1.809;243;936;0;0;0;0;1.281;279;0;0;0;0;;;dez-09
