DISTRITO;MAT_CRECHE;MAT_PRE_ESCOLA;MAT_FUND_I;MAT_FUND_II;MAT_EJA_I;MAT_EJA_II;MAT_ENS_MED;MAT_ED_PROF;MAT_PROC_CRECHE;MAT_PROC_PRE_ESC;DEM_CRECHE;DEM_PRE;DEM_FUND_I;DEM_FUND_II;DEM_EJA_I;DEM_EJA_II;DEM_PREF_CRECHE;DEM_PREF_PRE;MES_ANO_REF
JARAGUA;2.008;7.580;11.255;9.744;967;3.574;441;0;;;1.609;1.038;0;0;0;0;;;jun-06
JARDIM ANGELA;1.683;9.341;7.984;6.473;759;2.893;0;0;;;3.539;3.851;0;0;0;0;;;jun-06
JARDIM HELENA;792;4.685;5.854;6.254;347;1.735;0;0;;;851;215;0;0;0;0;;;jun-06
JARDIM PAULISTA;24;693;0;0;0;0;0;0;;;3;2;0;0;0;0;;;jun-06
JARDIM SAO LUIS;1.847;9.605;7.751;6.352;886;2.441;0;0;;;3.674;1.580;0;0;0;0;;;jun-06
JOSE BONIFACIO;473;4.822;2.902;2.689;84;992;0;0;;;789;240;0;0;0;0;;;jun-06
LAJEADO;947;5.784;3.824;4.302;428;1.802;0;0;;;1.611;1.519;0;0;0;0;;;jun-06
LAPA;185;2.592;0;0;0;0;0;0;;;132;118;0;0;0;0;;;jun-06
LIBERDADE;391;485;459;420;123;232;0;0;;;330;49;0;0;0;0;;;jun-06
LIMAO;336;1.412;805;800;21;453;0;0;;;305;106;0;0;0;0;;;jun-06
MANDAQUI;440;3.338;2.763;2.429;331;695;0;0;;;755;162;0;0;0;0;;;jun-06
MARSILAC;63;64;0;0;0;0;0;0;;;1;0;0;0;0;0;;;jun-06
MOEMA;146;963;406;229;40;82;0;0;;;113;50;0;0;0;0;;;jun-06
MOOCA;551;1.714;455;422;83;145;0;0;;;444;137;0;0;0;0;;;jun-06
MORUMBI;209;886;901;538;85;186;0;0;;;402;105;0;0;0;0;;;jun-06
PARELHEIROS;980;4.435;3.573;1.624;183;1.066;0;0;;;775;949;0;0;0;0;;;jun-06
PARI;54;570;403;367;0;0;0;0;;;178;41;0;0;0;0;;;jun-06
