"Localidades";"Períodos";"População de 0 a 3 Anos";"Cód. IBGE"
"Campo Limpo";"2008";"13044";
"Campo Limpo";"2009";"12742";
"Campo Limpo";"2010";"12450";
"Campo Limpo";"2011";"12707";
"Campo Limpo";"2012";"12957";
"Campo Limpo";"2013";"13202";
"Campo Limpo";"2014";"13443";
"Campo Limpo";"2015";"13682";
"Campo Limpo";"2016";"13452";
"Campo Limpo";"2017";"13223";
"Campo Limpo";"2018";"12984";
"Cangaiba";"1995";"9098";
"Cangaiba";"1996";"9189";
"Cangaiba";"1997";"9276";
"Cangaiba";"1998";"9358";
"Cangaiba";"1999";"9431";
"Cangaiba";"2000";"9486";
"Cangaiba";"2001";"9199";
"Cangaiba";"2002";"8908";
"Cangaiba";"2003";"8611";
"Cangaiba";"2004";"8329";
"Cangaiba";"2005";"8047";
"Cangaiba";"2006";"7773";
"Cangaiba";"2007";"7493";
"Cangaiba";"2008";"7224";
"Cangaiba";"2009";"6959";
"Cangaiba";"2010";"6714";
"Cangaiba";"2011";"7010";
"Cangaiba";"2012";"7314";
"Cangaiba";"2013";"7623";
"Cangaiba";"2014";"7931";
"Cangaiba";"2015";"8252";
"Cangaiba";"2016";"8032";
"Cangaiba";"2017";"7807";
"Cangaiba";"2018";"7582";
"Capão Redondo";"1995";"18655";
"Capão Redondo";"1996";"18870";
"Capão Redondo";"1997";"19083";
"Capão Redondo";"1998";"19281";
"Capão Redondo";"1999";"19454";
"Capão Redondo";"2000";"19585";
"Capão Redondo";"2001";"19248";
"Capão Redondo";"2002";"18868";
"Capão Redondo";"2003";"18504";
"Capão Redondo";"2004";"18145";
"Capão Redondo";"2005";"17775";
"Capão Redondo";"2006";"17395";
"Capão Redondo";"2007";"17007";
"Capão Redondo";"2008";"16620";
"Capão Redondo";"2009";"16237";
"Capão Redondo";"2010";"15861";
"Capão Redondo";"2011";"16465";
"Capão Redondo";"2012";"17067";
"Capão Redondo";"2013";"17681";
"Capão Redondo";"2014";"18296";
"Capão Redondo";"2015";"18910";
"Capão Redondo";"2016";"18598";
"Capão Redondo";"2017";"18271";
"Capão Redondo";"2018";"17935";
"Carrão";"1995";"4689";
"Carrão";"1996";"4530";
"Carrão";"1997";"4376";
"Carrão";"1998";"4221";
"Carrão";"1999";"4069";
"Carrão";"2000";"3912";
"Carrão";"2001";"3844";
"Carrão";"2002";"3774";
"Carrão";"2003";"3699";
"Carrão";"2004";"3632";
"Carrão";"2005";"3562";
"Carrão";"2006";"3487";
"Carrão";"2007";"3414";
"Carrão";"2008";"3338";
"Carrão";"2009";"3266";
"Carrão";"2010";"3191";
"Carrão";"2011";"3291";
"Carrão";"2012";"3391";
"Carrão";"2013";"3493";
"Carrão";"2014";"3598";
"Carrão";"2015";"3701";
"Carrão";"2016";"3614";
"Carrão";"2017";"3525";
"Carrão";"2018";"3438";
"Casa Verde";"1995";"5403";
"Casa Verde";"1996";"5224";
"Casa Verde";"1997";"5048";
"Casa Verde";"1998";"4873";
"Casa Verde";"1999";"4699";
"Casa Verde";"2000";"4521";
"Casa Verde";"2001";"4456";
"Casa Verde";"2002";"4386";
"Casa Verde";"2003";"4314";
"Casa Verde";"2004";"4244";
"Casa Verde";"2005";"4174";
"Casa Verde";"2006";"4101";
"Casa Verde";"2007";"4028";
"Casa Verde";"2008";"3955";
"Casa Verde";"2009";"3880";
"Casa Verde";"2010";"3803";
"Casa Verde";"2011";"3999";
"Casa Verde";"2012";"4203";
"Casa Verde";"2013";"4410";
"Casa Verde";"2014";"4628";
"Casa Verde";"2015";"4849";
"Casa Verde";"2016";"4700";
"Casa Verde";"2017";"4551";
"Casa Verde";"2018";"4398";
"Cidade Ademar";"1995";"19512";
"Cidade Ademar";"1996";"19326";
"Cidade Ademar";"1997";"19128";
"Cidade Ademar";"1998";"18922";
"Cidade Ademar";"1999";"18691";
"Cidade Ademar";"2000";"18425";
"Cidade Ademar";"2001";"18131";
"Cidade Ademar";"2002";"17807";
"Cidade Ademar";"2003";"17460";
"Cidade Ademar";"2004";"17098";
"Cidade Ademar";"2005";"16735";
"Cidade Ademar";"2006";"16368";
"Cidade Ademar";"2007";"15999";
"Cidade Ademar";"2008";"15620";
"Cidade Ademar";"2009";"15261";
"Cidade Ademar";"2010";"14905";
"Cidade Ademar";"2011";"15530";
"Cidade Ademar";"2012";"16166";
"Cidade Ademar";"2013";"16818";
"Cidade Ademar";"2014";"17481";
"Cidade Ademar";"2015";"18152";
"Cidade Ademar";"2016";"17760";
"Cidade Ademar";"2017";"17354";
"Cidade Ademar";"2018";"16944";
"Cidade Dutra";"1995";"14135";
"Cidade Dutra";"1996";"14164";
"Cidade Dutra";"1997";"14181";
"Cidade Dutra";"1998";"14189";
"Cidade Dutra";"1999";"14179";
"Cidade Dutra";"2000";"14136";
"Cidade Dutra";"2001";"13761";
"Cidade Dutra";"2002";"13372";
"Cidade Dutra";"2003";"12977";
"Cidade Dutra";"2004";"12580";
"Cidade Dutra";"2005";"12184";
"Cidade Dutra";"2006";"11789";
"Cidade Dutra";"2007";"11392";
"Cidade Dutra";"2008";"11004";
"Cidade Dutra";"2009";"10627";
"Cidade Dutra";"2010";"10269";
"Cidade Dutra";"2011";"10618";
"Cidade Dutra";"2012";"10965";
"Cidade Dutra";"2013";"11316";
"Cidade Dutra";"2014";"11665";
"Cidade Dutra";"2015";"12011";
"Cidade Dutra";"2016";"11736";
"Cidade Dutra";"2017";"11462";
"Cidade Dutra";"2018";"11180";
"Cidade Lider";"1995";"8196";
"Cidade Lider";"1996";"8250";
"Cidade Lider";"1997";"8300";
"Cidade Lider";"1998";"8344";
"Cidade Lider";"1999";"8375";
"Cidade Lider";"2000";"8393";
"Cidade Lider";"2001";"8233";
"Cidade Lider";"2002";"8064";
"Cidade Lider";"2003";"7903";
"Cidade Lider";"2004";"7729";
"Cidade Lider";"2005";"7554";
"Cidade Lider";"2006";"7379";
"Cidade Lider";"2007";"7199";
"Cidade Lider";"2008";"7022";
"Cidade Lider";"2009";"6844";
"Cidade Lider";"2010";"6672";
"Cidade Lider";"2011";"6873";
"Cidade Lider";"2012";"7078";
"Cidade Lider";"2013";"7279";
"Cidade Lider";"2014";"7480";
"Cidade Lider";"2015";"7680";
"Cidade Lider";"2016";"7546";
"Cidade Lider";"2017";"7408";
"Cidade Lider";"2018";"7273";
"Cidade Tiradentes";"1995";"12984";
"Cidade Tiradentes";"1996";"13876";
"Cidade Tiradentes";"1997";"14814";
"Cidade Tiradentes";"1998";"15805";
"Cidade Tiradentes";"1999";"16840";
"Cidade Tiradentes";"2000";"17897";
"Cidade Tiradentes";"2001";"17472";
"Cidade Tiradentes";"2002";"17035";
"Cidade Tiradentes";"2003";"16597";
"Cidade Tiradentes";"2004";"16157";
"Cidade Tiradentes";"2005";"15728";
"Cidade Tiradentes";"2006";"15277";
"Cidade Tiradentes";"2007";"14834";
"Cidade Tiradentes";"2008";"14395";
"Cidade Tiradentes";"2009";"13962";
"Cidade Tiradentes";"2010";"13541";
"Cidade Tiradentes";"2011";"13777";
"Cidade Tiradentes";"2012";"14005";
"Cidade Tiradentes";"2013";"14219";
"Cidade Tiradentes";"2014";"14420";
"Cidade Tiradentes";"2015";"14610";
"Cidade Tiradentes";"2016";"14572";
"Cidade Tiradentes";"2017";"14531";
"Cidade Tiradentes";"2018";"14482";
"Consolação";"1995";"2161";
"Consolação";"1996";"2043";
"Consolação";"1997";"1929";
"Consolação";"1998";"1822";
"Consolação";"1999";"1717";
"Consolação";"2000";"1616";
"Consolação";"2001";"1585";
"Consolação";"2002";"1554";
"Consolação";"2003";"1519";
"Consolação";"2004";"1489";
"Consolação";"2005";"1453";
"Consolação";"2006";"1422";
"Consolação";"2007";"1388";
"Consolação";"2008";"1359";
"Consolação";"2009";"1327";
"Consolação";"2010";"1295";
"Consolação";"2011";"1404";
"Consolação";"2012";"1514";
"Consolação";"2013";"1629";
"Consolação";"2014";"1744";
"Consolação";"2015";"1866";
"Consolação";"2016";"1875";
"Consolação";"2017";"1875";
"Consolação";"2018";"1870";
"Cursino";"1995";"6326";
"Cursino";"1996";"6111";
"Cursino";"1997";"5896";
"Cursino";"1998";"5684";
"Cursino";"1999";"5473";
"Cursino";"2000";"5257";
"Cursino";"2001";"5214";
"Cursino";"2002";"5163";
"Cursino";"2003";"5108";
"Cursino";"2004";"5058";
"Cursino";"2005";"4998";
"Cursino";"2006";"4940";
"Cursino";"2007";"4880";
"Cursino";"2008";"4815";
"Cursino";"2009";"4753";
"Cursino";"2010";"4690";
"Cursino";"2011";"4871";
"Cursino";"2012";"5057";
"Cursino";"2013";"5242";
"Cursino";"2014";"5436";
"Cursino";"2015";"5628";
"Cursino";"2016";"5466";
"Cursino";"2017";"5304";
"Cursino";"2018";"5141";
"Ermelino Matarazzo";"1995";"8050";
"Ermelino Matarazzo";"1996";"8050";
"Ermelino Matarazzo";"1997";"8045";
"Ermelino Matarazzo";"1998";"8034";
"Ermelino Matarazzo";"1999";"8014";
"Ermelino Matarazzo";"2000";"7982";
"Ermelino Matarazzo";"2001";"7821";
"Ermelino Matarazzo";"2002";"7655";
"Ermelino Matarazzo";"2003";"7494";
"Ermelino Matarazzo";"2004";"7325";
"Ermelino Matarazzo";"2005";"7156";
"Ermelino Matarazzo";"2006";"6993";
"Ermelino Matarazzo";"2007";"6818";
"Ermelino Matarazzo";"2008";"6646";
"Ermelino Matarazzo";"2009";"6465";
"Ermelino Matarazzo";"2010";"6293";
"Ermelino Matarazzo";"2011";"6438";
"Ermelino Matarazzo";"2012";"6583";
"Ermelino Matarazzo";"2013";"6726";
"Ermelino Matarazzo";"2014";"6866";
"Ermelino Matarazzo";"2015";"7007";
"Ermelino Matarazzo";"2016";"6863";
"Ermelino Matarazzo";"2017";"6717";
"Ermelino Matarazzo";"2018";"6570";
"Freguesia do Ó";"1995";"9809";
"Freguesia do Ó";"1996";"9609";
"Freguesia do Ó";"1997";"9402";
"Freguesia do Ó";"1998";"9192";
"Freguesia do Ó";"1999";"8976";
"Freguesia do Ó";"2000";"8745";
"Freguesia do Ó";"2001";"8488";
"Freguesia do Ó";"2002";"8218";
"Freguesia do Ó";"2003";"7950";
"Freguesia do Ó";"2004";"7686";
"Freguesia do Ó";"2005";"7422";
"Freguesia do Ó";"2006";"7168";
"Freguesia do Ó";"2007";"6910";
"Freguesia do Ó";"2008";"6664";
"Freguesia do Ó";"2009";"6419";
"Freguesia do Ó";"2010";"6188";
"Freguesia do Ó";"2011";"6480";
"Freguesia do Ó";"2012";"6782";
"Freguesia do Ó";"2013";"7087";
"Freguesia do Ó";"2014";"7397";
"Freguesia do Ó";"2015";"7715";
"Freguesia do Ó";"2016";"7488";
"Freguesia do Ó";"2017";"7248";
"Freguesia do Ó";"2018";"7013";
"Grajaú";"1995";"22663";
"Grajaú";"1996";"23997";
"Grajaú";"1997";"25423";
"Grajaú";"1998";"26905";
"Grajaú";"1999";"28427";
"Grajaú";"2000";"29945";
"Grajaú";"2001";"29227";
"Grajaú";"2002";"28453";
"Grajaú";"2003";"27665";
"Grajaú";"2004";"26880";
"Grajaú";"2005";"26094";
"Grajaú";"2006";"25304";
"Grajaú";"2007";"24515";
"Grajaú";"2008";"23734";
"Grajaú";"2009";"22969";
"Grajaú";"2010";"22240";
"Grajaú";"2011";"23051";
"Grajaú";"2012";"23869";
"Grajaú";"2013";"24660";
"Grajaú";"2014";"25481";
"Grajaú";"2015";"26280";
"Grajaú";"2016";"25814";
"Grajaú";"2017";"25332";
"Grajaú";"2018";"24839";
"Guaianases";"1995";"8127";
"Guaianases";"1996";"8231";
"Guaianases";"1997";"8325";
"Guaianases";"1998";"8419";
"Guaianases";"1999";"8502";
"Guaianases";"2000";"8579";
"Guaianases";"2001";"8345";
"Guaianases";"2002";"8113";
"Guaianases";"2003";"7869";
"Guaianases";"2004";"7620";
"Guaianases";"2005";"7372";
"Guaianases";"2006";"7129";
"Guaianases";"2007";"6870";
"Guaianases";"2008";"6618";
"Guaianases";"2009";"6376";
"Guaianases";"2010";"6149";
"Guaianases";"2011";"6375";
"Guaianases";"2012";"6600";
"Guaianases";"2013";"6829";
"Guaianases";"2014";"7055";
"Guaianases";"2015";"7284";
"Guaianases";"2016";"7163";
"Guaianases";"2017";"7037";
"Guaianases";"2018";"6910";
"Iguatemi";"1995";"7053";
"Iguatemi";"1996";"7406";
"Iguatemi";"1997";"7771";
"Iguatemi";"1998";"8153";
"Iguatemi";"1999";"8544";
"Iguatemi";"2000";"8938";
"Iguatemi";"2001";"8872";
"Iguatemi";"2002";"8781";
"Iguatemi";"2003";"8683";
"Iguatemi";"2004";"8580";
"Iguatemi";"2005";"8475";
"Iguatemi";"2006";"8361";
"Iguatemi";"2007";"8239";
"Iguatemi";"2008";"8106";
"Iguatemi";"2009";"7983";
"Iguatemi";"2010";"7840";
"Iguatemi";"2011";"8207";
"Iguatemi";"2012";"8578";
"Iguatemi";"2013";"8956";
"Iguatemi";"2014";"9342";
"Iguatemi";"2015";"9728";
"Iguatemi";"2016";"9683";
"Iguatemi";"2017";"9634";
"Iguatemi";"2018";"9579";
"Ipiranga";"1995";"5295";
"Ipiranga";"1996";"5280";
"Ipiranga";"1997";"5267";
"Ipiranga";"1998";"5245";
"Ipiranga";"1999";"5222";
"Ipiranga";"2000";"5186";
"Ipiranga";"2001";"5129";
"Ipiranga";"2002";"5062";
"Ipiranga";"2003";"4995";
"Ipiranga";"2004";"4926";
"Ipiranga";"2005";"4863";
"Ipiranga";"2006";"4800";
"Ipiranga";"2007";"4729";
"Ipiranga";"2008";"4658";
"Ipiranga";"2009";"4593";
"Ipiranga";"2010";"4523";
"Ipiranga";"2011";"4713";
"Ipiranga";"2012";"4910";
"Ipiranga";"2013";"5109";
"Ipiranga";"2014";"5315";
"Ipiranga";"2015";"5521";
"Ipiranga";"2016";"5377";
"Ipiranga";"2017";"5232";
"Ipiranga";"2018";"5085";
"Itaim Bibi";"1995";"4151";
"Itaim Bibi";"1996";"3863";
"Itaim Bibi";"1997";"3591";
"Itaim Bibi";"1998";"3337";
"Itaim Bibi";"1999";"3089";
"Itaim Bibi";"2000";"2857";
"Itaim Bibi";"2001";"2919";
"Itaim Bibi";"2002";"2977";
"Itaim Bibi";"2003";"3043";
"Itaim Bibi";"2004";"3101";
