"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80074;"São Miguel";2011;"00 a 03 anos";5.008
80074;"São Miguel";2011;"Total da Seleção";5.008
80074;"São Miguel";2011;"Total Geral da População";91.725
80075;"São Rafael";2011;"00 a 03 anos";8.811
80075;"São Rafael";2011;"Total da Seleção";8.811
80075;"São Rafael";2011;"Total Geral da População";145.451
80076;"Sapopemba";2011;"00 a 03 anos";15.636
80076;"Sapopemba";2011;"Total da Seleção";15.636
80076;"Sapopemba";2011;"Total Geral da População";285.087
80077;"Saúde";2011;"00 a 03 anos";4.745
80077;"Saúde";2011;"Total da Seleção";4.745
80077;"Saúde";2011;"Total Geral da População";131.164
80078;"Sé";2011;"00 a 03 anos";1.103
80078;"Sé";2011;"Total da Seleção";1.103
80078;"Sé";2011;"Total Geral da População";23.960
80079;"Socorro";2011;"00 a 03 anos";1.447
80079;"Socorro";2011;"Total da Seleção";1.447
80079;"Socorro";2011;"Total Geral da População";37.604
80080;"Tatuapé";2011;"00 a 03 anos";3.326
80080;"Tatuapé";2011;"Total da Seleção";3.326
80080;"Tatuapé";2011;"Total Geral da População";92.118
80081;"Tremembé";2011;"00 a 03 anos";11.134
80081;"Tremembé";2011;"Total da Seleção";11.134
80081;"Tremembé";2011;"Total Geral da População";199.753
80082;"Tucuruvi";2011;"00 a 03 anos";3.751
80082;"Tucuruvi";2011;"Total da Seleção";3.751
80082;"Tucuruvi";2011;"Total Geral da População";98.284
80083;"Vila Andrade";2011;"00 a 03 anos";8.129
80083;"Vila Andrade";2011;"Total da Seleção";8.129
80083;"Vila Andrade";2011;"Total Geral da População";130.400
80084;"Vila Curuçá";2011;"00 a 03 anos";8.516
80084;"Vila Curuçá";2011;"Total da Seleção";8.516
80084;"Vila Curuçá";2011;"Total Geral da População";149.398
80085;"Vila Formosa";2011;"00 a 03 anos";3.949
80085;"Vila Formosa";2011;"Total da Seleção";3.949
80085;"Vila Formosa";2011;"Total Geral da População";94.762
80086;"Vila Guilherme";2011;"00 a 03 anos";2.489
80086;"Vila Guilherme";2011;"Total da Seleção";2.489
80086;"Vila Guilherme";2011;"Total Geral da População";54.618
80087;"Vila Jacuí";2011;"00 a 03 anos";8.150
80087;"Vila Jacuí";2011;"Total da Seleção";8.150
80087;"Vila Jacuí";2011;"Total Geral da População";142.670
80088;"Vila Leopoldina";2011;"00 a 03 anos";1.915
80088;"Vila Leopoldina";2011;"Total da Seleção";1.915
80088;"Vila Leopoldina";2011;"Total Geral da População";40.044
80089;"Vila Maria";2011;"00 a 03 anos";6.072
80089;"Vila Maria";2011;"Total da Seleção";6.072
80089;"Vila Maria";2011;"Total Geral da População";113.489
80090;"Vila Mariana";2011;"00 a 03 anos";4.196
80090;"Vila Mariana";2011;"Total da Seleção";4.196
80090;"Vila Mariana";2011;"Total Geral da População";130.686
80091;"Vila Matilde";2011;"00 a 03 anos";4.742
80091;"Vila Matilde";2011;"Total da Seleção";4.742
80091;"Vila Matilde";2011;"Total Geral da População";105.037
80092;"Vila Medeiros";2011;"00 a 03 anos";6.416
80092;"Vila Medeiros";2011;"Total da Seleção";6.416
80092;"Vila Medeiros";2011;"Total Geral da População";129.217
80093;"Vila Prudente";2011;"00 a 03 anos";4.487
80093;"Vila Prudente";2011;"Total da Seleção";4.487
80093;"Vila Prudente";2011;"Total Geral da População";104.303
80094;"Vila Sônia";2011;"00 a 03 anos";5.535
80094;"Vila Sônia";2011;"Total da Seleção";5.535
80094;"Vila Sônia";2011;"Total Geral da População";109.755
